<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,60,20200515,110000,2888.0000000,2894.0000000,2872.4000000,2885.2000000,60396
YNDX,60,20200515,120000,2885.4000000,2885.4000000,2867.2000000,2871.0000000,24144
YNDX,60,20200515,130000,2871.0000000,2881.0000000,2866.6000000,2866.6000000,11464
YNDX,60,20200515,140000,2867.0000000,2868.6000000,2841.4000000,2844.2000000,38603
YNDX,60,20200515,150000,2844.0000000,2854.8000000,2826.2000000,2836.8000000,39876
YNDX,60,20200515,160000,2836.8000000,2841.2000000,2795.8000000,2835.8000000,131074
YNDX,60,20200515,170000,2835.8000000,2848.8000000,2830.0000000,2835.2000000,62043
YNDX,60,20200515,180000,2835.2000000,2843.0000000,2829.0000000,2839.6000000,42851
YNDX,60,20200518,100000,2877.0000000,2909.8000000,2870.4000000,2903.4000000,152694
YNDX,60,20200518,110000,2903.0000000,2923.0000000,2900.4000000,2923.0000000,42954
YNDX,60,20200518,120000,2923.0000000,2928.0000000,2912.8000000,2925.0000000,32389
YNDX,60,20200518,130000,2923.8000000,2929.8000000,2923.4000000,2928.0000000,22762
YNDX,60,20200518,140000,2928.0000000,2934.8000000,2925.2000000,2932.6000000,25603
YNDX,60,20200518,150000,2932.4000000,2934.8000000,2927.0000000,2929.4000000,16765
YNDX,60,20200518,160000,2929.0000000,2935.0000000,2912.2000000,2924.6000000,83070
YNDX,60,20200518,170000,2924.6000000,2934.4000000,2921.0000000,2931.2000000,44709
YNDX,60,20200518,180000,2931.2000000,2947.0000000,2929.0000000,2945.0000000,59462
YNDX,60,20200519,100000,2976.0000000,2980.0000000,2943.0000000,2950.8000000,57948
YNDX,60,20200519,110000,2951.4000000,2956.0000000,2923.6000000,2940.4000000,43257
YNDX,60,20200519,120000,2941.0000000,2948.0000000,2930.6000000,2943.8000000,22178
YNDX,60,20200519,130000,2943.0000000,2945.6000000,2940.4000000,2941.4000000,19863
YNDX,60,20200519,140000,2942.0000000,2960.0000000,2941.4000000,2949.0000000,28340
YNDX,60,20200519,150000,2949.0000000,2957.0000000,2940.4000000,2953.6000000,18933
YNDX,60,20200519,160000,2954.8000000,2960.0000000,2935.0000000,2945.6000000,48769
YNDX,60,20200519,170000,2945.0000000,2955.0000000,2938.6000000,2949.0000000,35452
YNDX,60,20200519,180000,2949.0000000,2971.4000000,2945.0000000,2970.0000000,63911
YNDX,60,20200520,100000,2955.2000000,2958.4000000,2941.0000000,2948.6000000,39433
YNDX,60,20200520,110000,2948.4000000,2995.0000000,2947.0000000,2984.2000000,111678
YNDX,60,20200520,120000,2983.6000000,2985.2000000,2972.0000000,2975.6000000,44195
YNDX,60,20200520,130000,2975.6000000,2989.0000000,2969.8000000,2986.4000000,28783
YNDX,60,20200520,140000,2986.4000000,2994.8000000,2984.4000000,2994.6000000,37572
YNDX,60,20200520,150000,2994.6000000,3000.0000000,2990.6000000,2997.6000000,41207
YNDX,60,20200520,160000,2997.8000000,2999.0000000,2961.4000000,2978.8000000,110862
YNDX,60,20200520,170000,2980.4000000,2986.0000000,2965.6000000,2970.0000000,50445
YNDX,60,20200520,180000,2968.8000000,2972.6000000,2963.0000000,2964.6000000,46864
YNDX,60,20200521,100000,2944.0000000,2960.0000000,2926.6000000,2952.6000000,89285
YNDX,60,20200521,110000,2954.0000000,2958.0000000,2931.2000000,2951.6000000,63645
YNDX,60,20200521,120000,2953.4000000,2954.0000000,2935.0000000,2939.6000000,21998
YNDX,60,20200521,130000,2938.2000000,2959.8000000,2937.2000000,2947.6000000,19535
YNDX,60,20200521,140000,2946.4000000,2958.0000000,2935.2000000,2948.4000000,22801
YNDX,60,20200521,150000,2948.4000000,2956.2000000,2946.0000000,2951.4000000,18958
YNDX,60,20200521,160000,2951.4000000,2951.4000000,2917.2000000,2926.2000000,105366
YNDX,60,20200521,170000,2926.4000000,2931.4000000,2897.4000000,2909.0000000,106870
YNDX,60,20200521,180000,2907.8000000,2912.4000000,2895.0000000,2910.8000000,55498
YNDX,60,20200522,100000,2889.8000000,2908.8000000,2880.6000000,2891.6000000,59762
YNDX,60,20200522,110000,2891.6000000,2918.8000000,2890.4000000,2917.0000000,29190
YNDX,60,20200522,120000,2917.0000000,2924.6000000,2910.0000000,2919.0000000,19711
YNDX,60,20200522,130000,2918.8000000,2923.8000000,2900.0000000,2904.6000000,15824
YNDX,60,20200522,140000,2906.0000000,2938.8000000,2906.0000000,2933.8000000,40745
YNDX,60,20200522,150000,2934.2000000,2936.8000000,2920.0000000,2929.8000000,21692
YNDX,60,20200522,160000,2931.0000000,2931.0000000,2892.0000000,2912.4000000,78336
YNDX,60,20200522,170000,2913.4000000,2913.8000000,2891.0000000,2899.6000000,39175
YNDX,60,20200522,180000,2899.6000000,2906.4000000,2896.2000000,2905.0000000,31757
YNDX,60,20200525,100000,2913.8000000,2944.2000000,2908.2000000,2930.6000000,78970
YNDX,60,20200525,110000,2930.6000000,2941.0000000,2922.0000000,2937.0000000,28615
YNDX,60,20200525,120000,2935.6000000,2955.8000000,2932.6000000,2948.8000000,32362
YNDX,60,20200525,130000,2949.4000000,2957.0000000,2943.2000000,2949.4000000,28361
YNDX,60,20200525,140000,2949.2000000,2952.0000000,2941.6000000,2948.0000000,11550
YNDX,60,20200525,150000,2949.0000000,2952.6000000,2946.2000000,2947.2000000,11598
YNDX,60,20200525,160000,2948.0000000,2950.0000000,2940.6000000,2950.0000000,24279
YNDX,60,20200525,170000,2949.6000000,2959.0000000,2947.8000000,2959.0000000,23697
YNDX,60,20200525,180000,2959.0000000,2962.0000000,2958.2000000,2960.6000000,19293
YNDX,60,20200526,100000,2968.8000000,2992.8000000,2968.8000000,2983.0000000,67325
YNDX,60,20200526,110000,2982.8000000,2984.4000000,2971.2000000,2979.4000000,30463
YNDX,60,20200526,120000,2979.4000000,2979.4000000,2962.6000000,2970.0000000,30576
YNDX,60,20200526,130000,2971.4000000,2990.0000000,2968.0000000,2972.6000000,29972
YNDX,60,20200526,140000,2974.0000000,2977.0000000,2966.8000000,2972.0000000,10408
