<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20200514,120000,186.9200000,188.2000000,186.7500000,187.9300000,4676180
SBER,60,20200514,130000,187.9300000,187.9900000,186.6000000,187.1600000,4353590
SBER,60,20200514,140000,187.0900000,187.2700000,185.8000000,186.0300000,5784080
SBER,60,20200514,150000,186.0200000,186.1300000,184.7700000,185.3500000,10475160
SBER,60,20200514,160000,185.4100000,186.0600000,183.5000000,183.9200000,11579670
SBER,60,20200514,170000,183.9300000,185.0900000,183.7000000,184.5300000,10276030
SBER,60,20200514,180000,184.5300000,185.0700000,183.8000000,183.8100000,9934170
SBER,60,20200515,100000,186.1300000,186.7000000,184.6800000,185.7800000,15746640
SBER,60,20200515,110000,185.8100000,186.4500000,185.5400000,186.3900000,6605310
SBER,60,20200515,120000,186.4000000,186.7800000,185.3600000,185.7000000,4833510
SBER,60,20200515,130000,185.7100000,185.9900000,185.0900000,185.2200000,2856520
SBER,60,20200515,140000,185.1700000,185.3600000,184.5000000,184.5300000,5710920
SBER,60,20200515,150000,184.5100000,185.1500000,184.3200000,184.9700000,3440790
SBER,60,20200515,160000,184.9700000,185.0200000,184.0100000,184.4400000,4882300
SBER,60,20200515,170000,184.4500000,184.6100000,183.3300000,183.6500000,11363630
SBER,60,20200515,180000,183.7000000,184.2800000,183.6000000,183.8500000,7594230
SBER,60,20200518,100000,186.0600000,186.4800000,185.4000000,185.7100000,10084320
SBER,60,20200518,110000,185.7100000,186.4400000,185.5200000,186.3000000,6329110
SBER,60,20200518,120000,186.3000000,186.5700000,185.7100000,185.9600000,5176580
SBER,60,20200518,130000,185.9600000,186.0200000,185.5700000,185.8500000,3623640
SBER,60,20200518,140000,185.8500000,186.5500000,185.7500000,186.4200000,6085420
SBER,60,20200518,150000,186.4900000,188.7500000,186.3100000,188.5400000,13168720
SBER,60,20200518,160000,188.5600000,188.9500000,188.1100000,188.5000000,9739030
SBER,60,20200518,170000,188.5000000,189.6400000,188.0700000,189.5100000,11118320
SBER,60,20200518,180000,189.5100000,190.0000000,187.2000000,188.9300000,11927510
SBER,60,20200519,100000,190.3800000,191.2500000,189.5600000,190.5300000,13705540
SBER,60,20200519,110000,190.5700000,192.5500000,190.2000000,192.3200000,10407990
SBER,60,20200519,120000,192.3200000,192.4500000,189.2000000,189.5300000,15798610
SBER,60,20200519,130000,189.5200000,189.7800000,187.5600000,189.4700000,12965970
SBER,60,20200519,140000,189.4500000,190.8700000,188.5000000,190.2200000,7334930
SBER,60,20200519,150000,190.2500000,190.6600000,186.8000000,187.5500000,24090290
SBER,60,20200519,160000,187.5700000,188.4800000,187.3000000,188.3000000,7680540
SBER,60,20200519,170000,188.2800000,189.4100000,188.0000000,188.6600000,7547010
SBER,60,20200519,180000,188.6600000,189.0700000,188.4600000,189.0000000,5637770
SBER,60,20200520,100000,188.4500000,188.4500000,186.6000000,187.1700000,11500170
SBER,60,20200520,110000,187.2000000,191.2500000,187.1200000,190.6100000,20537110
SBER,60,20200520,120000,190.6100000,192.0000000,189.9300000,191.7000000,11159740
SBER,60,20200520,130000,191.7000000,191.8800000,190.5100000,191.1900000,7188290
SBER,60,20200520,140000,191.1900000,191.9500000,190.6800000,191.6800000,5068280
SBER,60,20200520,150000,191.7000000,192.3000000,191.2100000,191.6200000,7966790
SBER,60,20200520,160000,191.6300000,192.1700000,191.2500000,191.8400000,6419870
SBER,60,20200520,170000,191.8700000,192.4000000,191.0300000,192.3000000,8534230
SBER,60,20200520,180000,192.3000000,193.9800000,191.8200000,193.9800000,14937400
SBER,60,20200521,100000,194.0000000,196.3100000,192.6000000,194.5600000,24414240
SBER,60,20200521,110000,194.5700000,194.8000000,192.8000000,194.2600000,11339080
SBER,60,20200521,120000,194.3000000,194.3300000,192.8900000,192.9300000,4871210
SBER,60,20200521,130000,192.9300000,194.2500000,192.6700000,193.3300000,6008920
SBER,60,20200521,140000,193.3800000,195.1100000,193.0300000,194.0400000,7321330
SBER,60,20200521,150000,194.1000000,194.8200000,193.5300000,194.0000000,3442650
SBER,60,20200521,160000,194.0000000,194.6000000,193.5800000,194.0300000,3940910
SBER,60,20200521,170000,194.0300000,194.4000000,192.5000000,192.8100000,7878360
SBER,60,20200521,180000,192.8100000,192.9900000,191.5000000,192.4000000,10173910
SBER,60,20200522,100000,190.9700000,191.2500000,189.6300000,189.8200000,12069310
SBER,60,20200522,110000,189.8100000,190.8800000,189.4300000,190.7800000,7562420
